Add/Edit/Delete,Name,Branch,Address 1,City,State,Zip,Country,Tier Name,Data Privacy,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,,empty,,
,Tarlac,,"Robinsons Luisita, Mc Arthur Highway, San Miguel",Tarlac City,Tarlac,2300,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
,Tarlac 3,,"Robinsons Luisita, Mc Arthur Highway, San Miguel",Tarlac City,Tarlac,2300,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
,Technopoint,,"Technopoint Building, Julia Vargas Ave., Barrio Ugong, Pasig City",Pasig City,NCR,1604,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
,Baguio Site 1,,"Infocel Building, (BCEZ) Loakan Road",Baguio City,Benguet,2600,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
,Poland - Maxhubs,,Poland - Maxhubs,Poland - Maxhubs,,,Poland,EMEA - Poland,FALSE,Sitel,MAXhubs,EMEA,GEE,TRUE,,,
,Poland - Virtual,,Poland - Virtual,Poland - Virtual,,,Poland,EMEA - Poland,FALSE,Sitel,Virtual,EMEA,GEE,TRUE,,,
,Warsaw,,"Woloska -7 Mars Building, Entry D, 02-675",Warsaw,,,Poland,EMEA - Poland,FALSE,Sitel,Call Center,EMEA,GEE,TRUE,,,
,Lisbon 7 Rios,,"Avenida José Malhoa 19, 1070-040 Lisboa,  Portugal",Lisbon,,1070-40,Portugal,EMEA - Portugal,FALSE,Sitel,Call Center,EMEA,SPI,TRUE,,,
,Lisbon Atlantic,,"Av. D Joao II, Edificio Central Office, nº 45 - 3º Andar",Lisbon,,900-084,Portugal,EMEA - Portugal,FALSE,Sitel,Call Center,EMEA,SPI,TRUE,,,
,Lisbon Santos,,"Edifício D. Luís I nº7-7C, Rua do Instituto Industrial",Lisbon,,1200-869,Portugal,EMEA - Portugal,FALSE,Sitel,Call Center,EMEA,SPI,TRUE,,,
,,,,,,,,,,,,,,,,,
,Porto,,"5º Andar, Edf Tranquilidade,R. D. Manuel II",Porto,,4050-344,Portugal,EMEA - Portugal,FALSE,Sitel,Call Center,EMEA,SPI,TRUE,,,
,Caribou,,63 Sweden St,Caribou,ME,4736,United States,North America - USA,FALSE,Sitel,Call Center,North America,Northeast,TRUE,,,
,Portugal - Maxhubs,,Portugal - Maxhubs,Portugal - Maxhubs,,,Portugal,EMEA - Portugal,FALSE,Sitel,MAXhubs,EMEA,SPI,TRUE,,,
,Portugal - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Portugal - Other Locations,,,Portugal,EMEA - Portugal,FALSE,Sitel,Other,EMEA,SPI,TRUE,,,
,Portugal - Virtual,,Portugal - Virtual,Portugal - Virtual,,,Portugal,EMEA - Portugal,FALSE,Sitel,Virtual,EMEA,SPI,TRUE,,,
,Maxim,,"Sitel, Maxim 10, Maxim Park, Parklands Avenue, ML1 4WQ",Scotland,,,Scotland,EMEA - UK,FALSE,Sitel,Call Center,EMEA,UKIN,TRUE,,,
,Scotland - Maxhubs,,Scotland - Maxhubs,Scotland - Maxhubs,,,Scotland,EMEA - UK,FALSE,Sitel,MAXhubs,EMEA,UKIN,TRUE,,,
,Scotland - Virtual,,Scotland - Virtual,Scotland - Virtual,,,Scotland,EMEA - UK,FALSE,Sitel,Virtual,EMEA,UKIN,TRUE,,,
,Dakar,,Fann Résidence Rue Léon Gontran DamaS X Alioune Diop,Dakar,,,Senegal,EMEA - Senegal,FALSE,Sitel,Call Center,EMEA,West Africa,TRUE,,,
,Senegal - Maxhubs,,Senegal - Maxhubs,Senegal - Maxhubs,,,Senegal,EMEA - Senegal,FALSE,Sitel,MAXhubs,EMEA,West Africa,TRUE,,,
,Senegal - Virtual,,Senegal - Virtual,Senegal - Virtual,,,Senegal,EMEA - Senegal,FALSE,Sitel,Virtual,EMEA,West Africa,TRUE,,,
